"DataCatalog_id","Name","Acronym","Description","URL","Type","Language Supported","Periodicity","Economy Coverage","Granularity","List of Countries/Regions/Sub-National Admins","Number of Economies","Data Notes","Topics","Update Frequency","Update Schedule","Last Revision Date","Contact Details","Access Option","Bulk Download","API","Attribution/citation","SourceURL","DetailPageURL","Coverage","APIAccessURL"
"73.0","Global Bilateral Migration Database","GBMD","Global matrices of bilateral migrant stocks spanning the period 1960-2000, disaggregated by gender and based primarily on the foreign-born concept are presented. Over one thousand census and population register records are combined to construct decennial matrices corresponding to the last five completed census rounds. For the first time, a comprehensive picture of bilateral global migration over the last half of the twentieth century emerges. The data reveal that the global migrant stock increased from 92 to 165 million between 1960 and 2000. South-North migration is the fastest growing component of international migration in both absolute and relative terms. The United States remains the most important migrant destination in the world, home to one fifth of the world’s migrants and the top destination for migrants from no less than sixty sending countries. Migration to Western Europe remains largely from elsewhere in Europe. The oil-rich Persian Gulf countries emerge as important destinations for migrants from the Middle East, North Africa and South and South-East Asia. Finally, although the global migrant stock is still predominantly male, the proportion of women increased noticeably between 1960 and 2000.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-bilateral-migration","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","226.0","","Labor & Social Protection","Annual +","2013.0","40725.0","cozden@worldbank.org","Query tool","","0.0","Global Bilateral Migration Database, World Bank Group and Ç. Özden, C. Parsons, M. Schiff and T. L. Walmsley (2011) 'Where on Earth is Everybody? The Evolution of Global Bilateral Migration, 1960-2000', World Bank Economic Review 25(1):12-56","","http://data.worldbank.org/data-catalog/global-bilateral-migration-database","1960 - 2000",""
"74.0","Population ranking","POP","Population ranking table.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","Rankings are based on available data only.","Health","Quarterly","April, July, September, December","41540.0","data@worldbank.org","Bulk download","POP (Excel)=http://databank.worldbank.org/data/download/POP.xls=excel;POP (CSV)=http://databank.worldbank.org/data/download/POP.csv=csv;POP (PDF)=http://databank.worldbank.org/data/download/POP.pdf=pdf","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/Population-ranking-table","2011 - 2011",""
"75.0","Bolivia Agricultural Public Expenditure Review","Bolivia APER","This is one of the most comprehensive datasets on public spending in the agricultural sector in Bolivia. The data on agriculture and agriculture-related expenditures was derived from the national accounting data obtained from the Public Accounting Department of the Ministry of Economy and Public Finance of Bolivia. The data is disaggregated by function (such as research and extension, irrigation, rural roads, rural electrification, etc.), economic classification (capital and current) and level of government (central, departmental and municipal) for a period of 13 years – from 1996 to 2008. Sub-national units of observation include the 9 Departments of Bolivia and the 327 municipalities, which in 2009 represented all the municipalities in the country.","","Time series","English","Annual","LAC, LMY, IDA","National;Sub-national","","","","Agriculture & Rural Development","","","2009.0","","Bulk download","Bolivia APER- (26 MB)=http://databank.worldbank.org/data/download/Bolivia-APER.xlsx=excel","0.0","Public Accounting Department of the Ministry of Economy and Public Finance of Bolivia","","http://data.worldbank.org/data-catalog/bolivia-aper","1996 - 2008",""
"76.0","IEG World Bank Project Performance Ratings","IEG WB Project Ratings","This dataset contains all World Bank project assessments carried out by the Independent Evaluation Group (IEG) since the unit was created back in the 70s. Spanning over 30 years, the collection has more than 10,400 project assessments, covering about 8,600 completed projects; it is perhaps the longest-running and most comprehensive project performance data collection of its kind. The dataset also includes references to over 5,400 source evaluation documents.","http://databox.worldbank.org/dataset/IEG-World-Bank-Project-Performance-Ratings/zb5s-3hdu","Time series","English","Day","EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","Project","","170.0","","World Bank Group Projects & Finances","Quarterly","","41548.0","amckenzie@worldbank.org","API, Bulk download, Query tool","IEG (Excel) (1.67 MB)=http://databank.worldbank.org/data/download/IEG-WB-Project-Ratings.xlsx=excel;","1.0","IEG World Bank Project Performance Ratings, World Bank Group","","http://data.worldbank.org/data-catalog/IEG","1964 - 2013","http://data.worldbank.org/developers/world-bank-finances"
"77.0","Health Nutrition and Population Statistics by Wealth Quintile","","This database presents HNP data by wealth quintile since 1990s to present. It covers more than 70 indicators, including childhood diseases and interventions, nutrition, sexual and reproductive health, mortality, and other determinants of health, for more than 90 low- and middle-income countries. The data sources are Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS).","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=health-nutrition-and-population-statistics-by-wealth-quintile","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Sub-national","","90+","","Health","Annually","April","41365.0","data@worldbank.org      healthpop@worldbank.org","Query tool","","0.0","Health Nutrition and Population Statistics by Wealth Quintile, World Bank Group","","http://data.worldbank.org/data-catalog/HNPquintile","1960 - 2011",""
"78.0","Open Data for the Horn","","Open Data for the Horn facilitates open access to geospatial information, data and knowledge sources, about the ongoing response to the drought in the Horn of Africa. Open Data for the Horn is a project of the Open Data for Resilience Initiative, a global partnership that seeks to build data sharing programs along with the capacity and tools to use data to make more informed decisions, that is working on implementation in 25 countries. ","http://horn.rcmrd.org/data/search","Geospatial","English","","SSA","Sub-national","","9.0","","Poverty","","","","","Query tool","","0.0","Open Data for the Horn, World Bank Group","","http://data.worldbank.org/data-catalog/open-data-for-the-horn","2006 - 2011",""
"79.0","Haiti Data","","HaitaData.org facilitates open access to Haiti-related geo-spatial information, data and knowledge sources, encouraging others to share and use them for the development of Haiti. The data can be used for many purposes: establishing baseline data, conducting risk assessments, planning, project monitoring, and tracking progress. This site is intended to facilitate more effective support to the country’s rehabilitation, recovery and longer- term sustainable development. HaitiData.org is a project of the Open Data for Resilience Initiative, a global partnership that seeks to build data sharing programs along with the capacity and tools to use data to make more informed decisions, that is working on implementation in 25 countries. ","http://haitidata.org/data/search","Geospatial","English","","LAC, LMY, IDA","Sub-national","","1.0","This project contains a diverse set of geospatial (GIS) data for Haiti, including topology, geology, natural features, infrastructure, and incidence of natural disasters.","Climate Change","","","","","Query tool","","0.0","Haiti Data, World Bank Group","","http://data.worldbank.org/data-catalog/haiti-data","1998 - 2010",""
"80.0","Climate Change Data","","Data from World Development Indicators and Climate Change Knowledge Portal on climate systems, exposure to climate impacts, resilience, greenhouse gas emissions, and energy use.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","213.0","","Climate Change","Quarterly","April, July, September, December","40848.0","data@worldbank.org","API, Bulk download","Climate Change (Excel) (4.6 MB)=http://data.worldbank.org/sites/default/files/data/climate_change_download_0.xls=xls","1.0","Climate Change Data, World Bank Group","","http://data.worldbank.org/data-catalog/climate-change","1990 - 2011","http://data.worldbank.org/developers"
"81.0","Wage Bill and Pay Compression","","Wage Bill and Pay Compression provides data on public sector wage bills, pay compression, and government employment. Wage bill includes both central and general government compensation as percentages of GDP, revenues, and expenditures. Pay compression is defined as the ratio of highest salary to lowest salary on the central government's main salary scale. Public Sector employment includes both General Government and State Owned Enterprise's employees, but only general government employment is captured in this dataset. ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","","Wage Bill data are from 2000 to 2008. More than 150 countries are covered where data are available. Pay compression data are compiled from various sources and 34 observations are available from mid-1990s to 2008.","Labor & Social Protection","Annual +","","40725.0","cgarrity@worldbank.org","Bulk download","Pay Compres'n=http://data.worldbank.org/sites/default/files/data/wage_compression_data.xls=excel;Wage Bill=http://data.worldbank.org/sites/default/files/data/wage_bill_data_final_july_22_2011.xls=excel;Summary Note - DOC (1.5MB)=http://data.worldbank.org/sites/default/files/wage_bill_and_pay_compression_summary_note_final.doc","0.0","Wage Bill and Pay Compression, World Bank Group","","http://data.worldbank.org/data-catalog/wage-bill-pay-compression","",""
"82.0","Climate Change Knowledge Portal: Historical Data","CCKP","This database contains historical temperature and precipitation data aggregated from 2-degree gridded data to the country and basin levels. ","","Time series","English","Month","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","","","Climate Change","No fixed schedule","","40878.0","data@worldbank.org","API, Bulk download","Historical Data (Excel) (380 KB) =http://data.worldbank.org/sites/default/files/data/cckp_historical_data_0.xls=xls","1.0","Derived from the Climate Research Unit (Mitchell et al, 2003).","","http://data.worldbank.org/data-catalog/cckp_historical_data","1961 - 1999","http://data.worldbank.org/developers/climate-data-api"
"83.0","Little Data Book on Climate Change:  Supplemental Data","CC LDB","The World Bank's Little Data Book on Climate Change contains a diverse set of indicators covering climate, exposure to impacts, resilience, GHG emissions, national-level actions and carbon markets. This supplemental dataset contains two spreadsheets: one with historical averages for the time period 1961-1990, based on gridded climatologies; and the other with projected annual averages for the years 2045-2065, relative to annual averages in the control period of 1961-2000, of ensemble data from nine general circulation models (GCMs). ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","245.0","","Climate Change, Environment","No fixed schedule","","40878.0","data@worldbank.org","API, Bulk download, Mobile app","Supp. Data - EXCEL (160.00 KB)=http://data.worldbank.org/sites/default/files/data/ccldb_supplemental.xls=xls","1.0","Historical climate: Climate Research Unit (Mitchell et al, 2003). Projected changes: Climate Systems Analysis Group, University of Cape Town 2009, calculated from Meehl et al, 2007. ","","http://data.worldbank.org/data-catalog/ldbcc-supplemental","","http://data.worldbank.org/developers"
"84.0","Climate For Development","","Climate For Development is a map-based micro-site that illustrates the links between climate change and development. The site is built on the open climate data available through the Climate Change Knowledge Portal. The data used on Climate For Development may be downloaded directly from the site or as map layers via the MapBox API. ","http://climate4development.worldbank.org/open","Geospatial","English","","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","Other","","","This project contains a diverse set of geospatial (GIS) global map layers for topics including climate, risk and vulnerability, and World Bank agricultural projects.","Climate Change","","","40878.0","data@worldbank.org","Query tool","","0.0","Data in this project come from various sources.  Please refer to specific indicators for source and citation.","","http://data.worldbank.org/data-catalog/climate-for-development","",""
"85.0","Climate Change Knowledge Portal:  Ensemble Projections","","“Ensemble” temperature and precipitation data are derived from multiple global circulation models (GCMs). The ensemble data depict the range (10th percentile, median and 90th percentile) of model outputs run under each of two scenarios, A2 and B1, for four future time periods. The first listed download contains data aggregated to the country level; the remaining downloads are gridded data in shapefile format. ","","Time series","English","Month","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","","","Climate Change","No fixed schedule","","40878.0","data@worldbank.org","API, Bulk download","Country Projections=http://data.worldbank.org/sites/default/files/data/cckp_ensemble_projections.zip=zip;Temp. Averages (SHP: 32MB)=http://databank.worldbank.org/data/download/ClimateChange/climate-avg-tas.zip=zip;Precip. Averages (SHP: 35MB)=http://databank.worldbank.org/data/download/ClimateChange/climate-avg-pr.zip=zip;Temp. Anomalies (SHP: 31MB)=http://databank.worldbank.org/data/download/ClimateChange/climate-anom-tas.zip=zip;Precip. Anomalies (SHP: 36MB)=http://databank.worldbank.org/data/download/ClimateChange/climate-anom-pr.zip=zip","1.0","Climate Change Knowledge Portal:  http://climateknowledgeportal.worldbank.org","","http://data.worldbank.org/data-catalog/cckp-ensemble-projections","","http://data.worldbank.org/developers/climate-data-api"
"86.0","Global Economic Prospects","GEP","Country-level data on the short-, medium, and long-term outlook for the global economy and the implications for developing countries and poverty reduction. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-economic-prospects","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","213.0","","Economic Policy & External Debt","Biannually","January, June","41437.0","data@worldbank.org","Query tool","","0.0","Global Economic Prospects, World Bank Group","","http://data.worldbank.org/data-catalog/global-economic-prospects","1960 - 2015",""
"87.0","The Atlas of Social Protection: Indicators of Resilience and Equity","ASPIRE","The World Bank’s ASPIRE online tool is the most up-to-date compilation of global social protection and labor (SPL) estimates, including data from 56 countries—mostly in the developing world. ASPIRE provides open and accessible household-level data on populations’ social and economic status; assessments of SPL programs, including weaknesses such as low coverage and poor targeting; SPL program impacts on poverty and inequality; and ways to improve household data collection for SPL programs.","http://databank.worldbank.org/data/source/global-social-protection","Time series","English","Annual","SAS, LMY, IDA, ECA, IBRD, LAC, EAP, MNA, SSA, HIC","National;Regional","","56.0","ASPIRE contains information on almost 5 million individuals in 1.3 million households. Currently, the database includes nearly 69 harmonized household urveys for 2005-2010.","Labor & Social Protection, Poverty","Biannually","","41061.0","socialprotection@worldbank.org","API, Bulk download, Query tool","ASPIRE (Excel)-ZIP=http://databank.worldbank.org/data/download/Global_social_protection_excel.zip=excel;ASPIRE (CSV)=http://databank.worldbank.org/data/download/Global_social_protection_excel.csv=csv","1.0","The Atlas of Social Protection: Indicators of Resilience and Equity, World Bank Group","","http://data.worldbank.org/data-catalog/atlas_social_protection","2005 - 2010","http://data.worldbank.org/developers"
"88.0","Global Financial Inclusion (Global Findex) Database","Global Findex","The Global Financial Inclusion Database provides 506 country-level indicators of financial inclusion summarized for all adults and disaggregated by key demographic characteristics—gender, age, education, income, and rural or urban residence. Covering 148 economies, the indicators of financial inclusion measure how people save, borrow, make payments and manage risk. The reference citation for the data is: Asli Demirguc-Kunt and Leora Klapper, 2012, “Measuring Financial Inclusion: The Global Findex Database”, World Bank Policy Research Paper 6025. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-findex-(global-financial-inclusion-database)","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","148.0","The Global Findex indicators are drawn from survey data collected over the 2011 calendar","Economic Policy & External Debt, Gender, Education, Urban Development, Agriculture & Rural Development","Annual +","","2011.0","data@worldbank.org","API, Query tool","","1.0","Global Financial Inclusion (Global Findex) Database, World Bank Group","","http://data.worldbank.org/data-catalog/financial_inclusion","2011 - 2011","http://data.worldbank.org/developers"
"89.0","Corporate Scorecard Indicators","CSC","The Corporate Scorecard is designed to provide a snapshot of the Bank’s overall performance, including its business modernization, in the context of development results. It facilitates strategic dialogue between Management and the Board on progress made and areas that need attention.  The World Bank has systems—on which it continuously improves—for measuring and monitoring both development results and its own performance. These systems are complemented by independent evaluations. With the Results Measurement System, which was adopted for the 13th replenishment of the International Development Association (IDA13) in 2002, the Bank became the first multilateral development institution to use a framework with quantitative indicators to monitor results and performance. The Corporate Scorecard expands this approach to the entire World Bank covering both the International Bank for Reconstruction and Development (IBRD) and IDA.  The Corporate Scorecard uses an integrated results and performance framework, which is organized in a four-tier structure that groups indicators along the results chain (see “Summary of the Corporate Scorecard” ). Two of the tiers track elements of development results (Tiers I and II), and the other two capture elements of performance (Tiers III and IV). As the Summary shows, the Corporate Scorecard monitors, at an aggregate level, whether the Bank is functioning efficiently and adapting itself successfully (Tier IV), and whether it is managing its operations and services effectively (Tier III) to support countries in achieving results (Tier II) in the context of global development progress and priorities (Tier I). It presents a high-level view and is not intended to provide country- or activity-level information. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=corporate-scorecard-tier-1-indicators","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","185.0","Data availability (number of economies, start and end date, and granularity) varies by tier. Tier 1 indicators are available via API. ","Public Sector","Quarterly","January, April, July, October","41464.0","","Bulk download, Query tool","Corporate Scorecard Indicators=http://databank.worldbank.org/data/download/Corporate-Scorecard-Tier1-2-3-4.zip=zip;World Bank Corporate Scorecard (PDF) (994 KB)=http://databank.worldbank.org/data/download/World%20Bank%20Corporate%20Scorecard.pdf=PDF","0.0","Corporate Scorecard, The World Bank","","http://data.worldbank.org/data-catalog/corporate-scorecard-tier-1-indicators","1990 - 2012",""
"90.0","Exporter Dynamics Database","","The Exporter Dynamics Database is the first database providing measures of exporter characteristics and dynamics across 45 countries across all geographic regions and income levels. The Exporter Dynamics Database contains close to 100 measures covering the basic characteristics of exporters, their distribution by size, the diversification in their products and markets, their dynamics in terms of entry, exit and survival, and the average unit prices of the goods they trade. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=exporter-dynamics-database:-country~year","Time series","English","Annual","SAS, LMY, IDA, ECA, IBRD, EAP, HIC, SSA, LAC","National","","45.0","Data for the 2000s is available for all countries while longer time series covering the 1990s are available for a selected group of countries.","Economic Policy & External Debt, Private Sector","Annually","Summer or Fall","","data@worldbank.org","Query tool","","0.0","Cebeci, T., Fernandes, A., Freund, C. and M. Pierola (2012). ""Exporter Dynamics Database,"" World Bank Policy Research Working Paper 6229.","","http://data.worldbank.org/data-catalog/exporter-dynamics-database","1997 - 2011",""
"91.0","Monitoring Gender Mainstreaming in World Bank Lending Operations","MGM","This data set determines the extent to which projects are gender-informed on three dimensions: analysis, actions and monitoring and evaluation. It is updated on an annual basis. ","https://databox.worldbank.org/dataset/Monitoring-Gender-Mainstreaming-in-World-Bank-Lend/yn58-mira","Transactions","English","Annual","SAS, LMY, IDA, ECA, IBRD, EAP, HIC, SSA, LAC","Project","","124.0","Data are available for 2010 and 2011. ","Gender","Annually","August","July, 2011","","API, Query tool","","0.0","World Bank Gender and Development Group","","http://data.worldbank.org/data-catalog/monitoring-gender-mainstreaming-world-bank-lending-operations","","http://data.worldbank.org/developers"
"92.0","International Debt Statistics","IDS","Focuses on financial flows, trends in external debt, and other major financial indicators for developing and advanced economies (data from Quarterly External Debt Statistics and Quarterly Public Sector Debt databases). Includes over 200 time series indicators from 1970 to 2011, for most reporting countries, and pipeline data for scheduled debt service payments on existing commitments to 2019. ","http://databank.worldbank.org/Data/Views/VariableSelection/SelectVariables.aspx?source=International Debt Statistics","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National;Regional","","128.0","","Economic Policy & External Debt","Annually","December","December, 2012","data@worldbank.org","API, Bulk download, Query tool","IDS (Excel)-ZIP (8.5 MB)=http://databank.worldbank.org/data/download/IDS_Excel.zip =excel;IDS (CSV)-ZIP (3 MB)=http://databank.worldbank.org/data/download/IDS_CSV.zip =csv","1.0","International Debt Statistics, The World Bank","","http://data.worldbank.org/data-catalog/international-debt-statistics","1970 - 2011","http://data.worldbank.org/developers"
"93.0","GPE Results Forms Database","GPE","The data originate from the education goals of developing-country partners of the Global Partnership for Education (GPE). Indicators compare actual values observed against targets, as set in education sector plans, joint sector reviews, and GPE grant applications. Indicators present key education outcomes and service delivery data; domestic, external, and GPE financing; learning outcomes; the composition of the Local Education Groups; and aid effectiveness in the education sector.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=global-partnership-for-education","Time series","English","Annual","SAS, LMY, IDA, ECA, SSA, EAP, MNA, LAC","National","","46.0","","Education, Aid Effectiveness","Biannually","","41284.0","jbernard@globalpartnership.org","API, Query tool","GPE Data (Excel) (5.4Mb)=http://country.globalpartnership.org/country_export/xls/all=xls","1.0","GPE Results Forms, Global Partnership for Education","","http://data.worldbank.org/data-catalog/global-partnership-for-education","1995 - 2030","http://data.worldbank.org/developers"
"94.0","Trade Costs Dataset","","The Trade Costs Dataset provides estimates of bilateral trade costs in agriculture and manufactured goods for the 1995-2010 period. It is built on trade and production data collected in 178 countries. Symmetric bilateral trade costs are computed using the Inverse Gravity Framework (Novy 2009), which estimates trade costs for each country pair using bilateral trade and gross national output. Trade costs are available for two sectors:  trade in manufactured goods, and agriculture. Energy is excluded.","http://databank.worldbank.org/data/source/escap-world-bank-international-trade-costs","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","178.0","This is a joint project between the World Bank International Trade Department and the Trade Division at the UNESCAP.","Economic Policy & External Debt","Annually","Mid-calendar year","2012.0","jarvis1@worldbank.org ","Query tool","","0.0","The World Bank UNESCAP Trade costs Database.","","http://data.worldbank.org/data-catalog/trade-costs-dataset","1995 - 2010",""
"95.0","Africa's Infrastructure: Airports","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-airport","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure-airportS","1990 - 2009",""
"96.0","Africa's Infrastructure: Electricity","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-electricity","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure-electricity","1990 - 2009",""
"97.0","Africa's Infrastructure: National Data","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-national-data","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure","1990 - 2009",""
"98.0","Africa's Infrastructure: Ports","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-ports","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure-ports","1990 - 2009",""
"99.0","Africa's Infrastructure: Railways","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-railways","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure-railways","1990 - 2009",""
"100.0","Africa's Infrastructure: WSS Utility","AICD","The Africa Infrastructure Country Diagnostic (AICD) has data collection and analysis on the status of the main network infrastructures. The AICD database provides cross-country data on network infrastructure for nine major sectors: air transport, information and communication technologies, irrigation, ports, power, railways, roads, water and sanitation. The indicators are defined as to cover key areas for policy making: affordability, access, pricing as well as institutional, fiscal and financial aspects. The analysis encompasses public expenditure trends, future investment needs and sector performance reviews. It offers users the opportunity to view AICD results, download documents and materials, search databases and perform customized analysis. ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=africa-infrastructure:-wss-utility","Time series","English","Annual","MNA, IBRD, SSA, IDA, LMY, HIC","National;Sub-national;Regional","","24.0","","Infrastructure","Annual +","3-year cycle","November, 2009","http://www.infrastructureafrica.org/aicd/contact","Query tool","","0.0","Africa's Infrastructure, World Bank Group","","http://data.worldbank.org/data-catalog/africa-infrastructure-wss-utility","1990 - 2009",""
"101.0","Sustainable Energy for All","SE4ALL","The “Sustainable Energy for all (SE4ALL)” initiative, launched in 2010 by the UN Secretary General,  established three global objectives to be accomplished by 2030: to ensure universal access to modern energy services, to double the global rate of improvement in global energy efficiency, and to double the share of renewable energy in the global energy mix. SE4ALL database supports this initiative and provides country level historical data for access to electricity and non-solid fuel; share of renewable energy in total final energy consumption by technology; and energy intensity rate of improvement.  ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=sustainable-energy-for-all","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA, ","National","","181-212","For access to electricity and to non-solid fuel there are 3 data points for 1990-2000-2010","Energy & Mining","Annual +","","41418.0","","API, Bulk download, Query tool, ","SE4ALL (Excel)-ZIP =http://databank.worldbank.org/data/download/SE4ALL_excel.zip=excel;SE4ALL (CSV)-ZIP =http://databank.worldbank.org/data/download/SE4ALL_csv.zip=csv","1.0","SE4ALL database,  IEA and World Bank","","http://data.worldbank.org/data-catalog/sustainable-energy-for-all","1990 - 2010","http://data.worldbank.org/developers"
"102.0","Poverty and Equity Database","","Latest poverty and inequality indicators compiled from officially recognized international sources. Poverty indicators include the poverty headcount ratio, poverty gap, and number of poor at both international and national poverty lines. Inequality indicators include the Gini index and income or consumption distributions.  The database includes national, regional and global estimates. This database is maintained by the Gloabl Poverty Working Group (GPWG), a team of poverty measurement experts from the Poverty Reduction and Equity Network, the Development Research Group, and the Development Data Group.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=poverty-and-inequality-database","Time Series","","Annual","EAP, ECA, LAC, MNA, SSA, SAS, LMY, IBRD, IDA, ","National","","170.0","","Poverty","Quarterly","April, July, September, December","July, 2013","data@worldbank.org","API, Query tool","","1.0","Poverty and Equity database, The World Bank","","http://data.worldbank.org/data-catalog/poverty-and-equity-database","1974 - 2012","http://data.worldbank.org/developers"
